Date,Revenue,Cost_of_Goods_Sold,Gross_Profit,Operating_Expenses,Operating_Income,Interest_Expenses,EBITDA,Depreciation,Amortization,Taxes,EBT,Net_Income,Cash_Flow_from_Operations,Capital_Expenditures,Change_in_Working_Capital,Accounts_Receivable,Accounts_Payable,Inventory,Accounts_Receivable_Aging,Accounts_Payable_Aging
0.4041532183057298,0.22473987888658165,0.440387814264691,0.4364460783522772,0.21849906902895033,0.39754797997504776,0.7086141756330419,0.23513793766588598,0.12077521477587894,0.6574964306152377,0.2472031477106552,0.013489016063689574,0.19827577434614319,0.7797031754113479,0.7881987357508631,0.019189519208922978,0.21851449712480087,0.6598058071975186,0.8252287295111375,0.0320003861728424,0.44667100407738525
0.9392563938622153,0.5493319472176399,0.3080315319357859,0.6615401421086976,0.5894034457199465,0.6459297931511507,0.5968634242222778,0.3245322946853153,0.7637180913971138,0.9602157202050972,0.17230446210641037,0.3783742452195876,0.34477674649591394,0.7026766169461428,0.4882769832185939,0.250306234998513,0.07980969563864027,0.49438167331402016,0.03500104354672906,0.3494728412312669,0.13766536966429
0.14127148691537017,0.4803846239142817,0.7633086995641842,0.02316141781354486,0.8667659078919699,0.730728017607613,0.5909357441132306,0.056509809333428196,0.5531803019333696,0.15276055773769825,0.6474133319728281,0.8469179552598375,0.9965186144768172,0.6380173591514738,0.7564396226128173,0.3709641951964453,0.5975230244274657,0.1579603591131924,0.9823898068703714,0.48861589593371,0.29968549928691357
0.3792756665077328,0.8483608096391679,0.33651007997360105,0.6924162121881127,0.6872413477661449,0.22511286579776246,0.73756709143701,0.2758977515948907,0.4647041585233904,0.5671366868892558,0.8360259388068072,0.4196889282077477,0.7404941529496829,0.5684144922015852,0.43912678958732565,0.30975106101700256,0.18798219570888808,0.6347230657528619,0.06055649452780987,0.27465467680583333,0.34756293813198225
0.5703559403332235,0.08807103693337592,0.7222967168727227,0.32542116508456365,0.6599597094387197,0.21027813908613624,0.0787964316382086,0.805356347349242,0.970144043294215,0.873686653648422,0.06132254124433156,0.24005139066546233,0.3101035591650353,0.6677327718227696,0.5722539891875424,0.40003524046396577,0.9195411920177063,0.38936777465791383,0.5182287097506829,0.3880441735230491,0.4031868541138005
0.09946865674342331,0.09256843047454932,0.9495675189654859,0.989699985588802,0.12449522790453293,0.7046608649827396,0.9445965697158301,0.04665941458230394,0.42456505861793625,0.5739910321278949,0.2766509356346597,0.42498048646809916,0.034355449896015244,0.14481233242682612,0.6470295186187045,0.1276335649797632,0.2955813215481202,0.3131580653746845,0.5824656677323453,0.6047655410595703,0.7915743157930487
0.3043407132914119,0.5746517446796124,0.8727832432114034,0.1835125212644807,0.6612960333147407,0.26557022490540483,0.9657339687608598,0.8723851388147562,0.010646309213233951,0.7518270107486784,0.8561637611506103,0.30851986072637627,0.9268730317234162,0.6413094666342555,0.39505487876593215,0.5956329847733722,0.6641145401108415,0.5503178788704333,0.8984074476564894,0.26614355051838445,0.019928732698714424
0.8685511428645448,0.6504669844751299,0.04977724143730522,0.7637809595944965,0.16396431029354486,0.6001529342477127,0.762284277237164,0.972038999814167,0.954961974459829,0.040659638230784556,0.9832953380926193,0.7394984608780566,0.09668715375995263,0.7985142068910148,0.5556015918447428,0.2505249174325547,0.298014730026983,0.013905660595424307,0.37083501732415136,0.1799012361444422,0.07000016804804043
0.6473525288015717,0.6951807503762069,0.6097781161528428,0.5655844604522495,0.8291588500664785,0.5667635244956342,0.9480382624089261,0.45967527900326177,0.22373737810883498,0.017288194121164113,0.46017977062474436,0.984002308926039,0.6770067065547366,0.9149064501082739,0.4675271664804186,0.25431057481090746,0.3074327437630854,0.18677777375595261,0.4203149029009243,0.19467501560848754,0.9282932285987369
0.761301637413775,0.04514544190177239,0.018423713403624253,0.09283109418840962,0.4223446734275743,0.4156714881521195,0.05253000337050984,0.6638056476081834,0.8271308439292577,0.7207511907884997,0.0575991443976398,0.23265375172215996,0.37284170669339134,0.4897177155868351,0.14314131729099455,0.7725006329876721,0.3693638196560445,0.9552764932950926,0.14038414068802818,0.2574547506331386,0.15979768518196213
